STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),1952,45 - 49 years,Both sexes,Thousand,164
Population Estimates (Persons in April),1952,45 - 49 years,Male,Thousand,84
Population Estimates (Persons in April),1952,45 - 49 years,Female,Thousand,80
Population Estimates (Persons in April),1952,45 - 64 years,Both sexes,Thousand,579
Population Estimates (Persons in April),1952,45 - 64 years,Male,Thousand,294
Population Estimates (Persons in April),1952,45 - 64 years,Female,Thousand,285
Population Estimates (Persons in April),1952,50 - 54 years,Both sexes,Thousand,160
Population Estimates (Persons in April),1952,50 - 54 years,Male,Thousand,82
Population Estimates (Persons in April),1952,50 - 54 years,Female,Thousand,78
Population Estimates (Persons in April),1952,55 - 59 years,Both sexes,Thousand,134
Population Estimates (Persons in April),1952,55 - 59 years,Male,Thousand,68
Population Estimates (Persons in April),1952,55 - 59 years,Female,Thousand,66
Population Estimates (Persons in April),1952,60 - 64 years,Both sexes,Thousand,121
Population Estimates (Persons in April),1952,60 - 64 years,Male,Thousand,61
Population Estimates (Persons in April),1952,60 - 64 years,Female,Thousand,61
Population Estimates (Persons in April),1952,65 - 69 years,Both sexes,Thousand,108
Population Estimates (Persons in April),1952,65 - 69 years,Male,Thousand,54
Population Estimates (Persons in April),1952,65 - 69 years,Female,Thousand,54
Population Estimates (Persons in April),1952,65 years and over,Both sexes,Thousand,317
Population Estimates (Persons in April),1952,65 years and over,Male,Thousand,155
Population Estimates (Persons in April),1952,65 years and over,Female,Thousand,162
Population Estimates (Persons in April),1952,70 - 74 years,Both sexes,Thousand,99
Population Estimates (Persons in April),1952,70 - 74 years,Male,Thousand,48
Population Estimates (Persons in April),1952,70 - 74 years,Female,Thousand,50
Population Estimates (Persons in April),1952,75 - 79 years,Both sexes,Thousand,65
Population Estimates (Persons in April),1952,75 - 79 years,Male,Thousand,32
Population Estimates (Persons in April),1952,75 - 79 years,Female,Thousand,33
Population Estimates (Persons in April),1952,80 - 84 years,Both sexes,Thousand,31
Population Estimates (Persons in April),1952,80 - 84 years,Male,Thousand,15
Population Estimates (Persons in April),1952,80 - 84 years,Female,Thousand,17
Population Estimates (Persons in April),1952,85 years and over,Both sexes,Thousand,14
Population Estimates (Persons in April),1952,85 years and over,Male,Thousand,6
Population Estimates (Persons in April),1952,85 years and over,Female,Thousand,8
Population Estimates (Persons in April),1952,All ages,Both sexes,Thousand,2953
Population Estimates (Persons in April),1952,All ages,Male,Thousand,1501
Population Estimates (Persons in April),1952,All ages,Female,Thousand,1452
Population Estimates (Persons in April),1953,Under 1 year,Both sexes,Thousand,60
Population Estimates (Persons in April),1953,Under 1 year,Male,Thousand,31
Population Estimates (Persons in April),1953,Under 1 year,Female,Thousand,29
Population Estimates (Persons in April),1953,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1953,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1953,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1953,0 - 14 years,Both sexes,Thousand,865
Population Estimates (Persons in April),1953,0 - 14 years,Male,Thousand,442
Population Estimates (Persons in April),1953,0 - 14 years,Female,Thousand,423
Population Estimates (Persons in April),1953,1 - 4 years,Both sexes,Thousand,248
Population Estimates (Persons in April),1953,1 - 4 years,Male,Thousand,127
Population Estimates (Persons in April),1953,1 - 4 years,Female,Thousand,121
Population Estimates (Persons in April),1953,5 - 9 years,Both sexes,Thousand,289
Population Estimates (Persons in April),1953,5 - 9 years,Male,Thousand,148
Population Estimates (Persons in April),1953,5 - 9 years,Female,Thousand,141
Population Estimates (Persons in April),1953,10 - 14 years,Both sexes,Thousand,269
Population Estimates (Persons in April),1953,10 - 14 years,Male,Thousand,137
Population Estimates (Persons in April),1953,10 - 14 years,Female,Thousand,132
Population Estimates (Persons in April),1953,15 - 19 years,Both sexes,Thousand,239
Population Estimates (Persons in April),1953,15 - 19 years,Male,Thousand,125
Population Estimates (Persons in April),1953,15 - 19 years,Female,Thousand,114
Population Estimates (Persons in April),1953,15 - 24 years,Both sexes,Thousand,432
Population Estimates (Persons in April),1953,15 - 24 years,Male,Thousand,225
Population Estimates (Persons in April),1953,15 - 24 years,Female,Thousand,207
Population Estimates (Persons in April),1953,15 years and over,Both sexes,Thousand,2084
Population Estimates (Persons in April),1953,15 years and over,Male,Thousand,1056
Population Estimates (Persons in April),1953,15 years and over,Female,Thousand,1028
Population Estimates (Persons in April),1953,20 - 24 years,Both sexes,Thousand,194
Population Estimates (Persons in April),1953,20 - 24 years,Male,Thousand,100
Population Estimates (Persons in April),1953,20 - 24 years,Female,Thousand,93
Population Estimates (Persons in April),1953,25 - 29 years,Both sexes,Thousand,188
Population Estimates (Persons in April),1953,25 - 29 years,Male,Thousand,94
Population Estimates (Persons in April),1953,25 - 29 years,Female,Thousand,94
Population Estimates (Persons in April),1953,25 - 44 years,Both sexes,Thousand,751
Population Estimates (Persons in April),1953,25 - 44 years,Male,Thousand,379
Population Estimates (Persons in April),1953,25 - 44 years,Female,Thousand,372
Population Estimates (Persons in April),1953,30 - 34 years,Both sexes,Thousand,186
Population Estimates (Persons in April),1953,30 - 34 years,Male,Thousand,93
Population Estimates (Persons in April),1953,30 - 34 years,Female,Thousand,93
Population Estimates (Persons in April),1953,35 - 39 years,Both sexes,Thousand,194
Population Estimates (Persons in April),1953,35 - 39 years,Male,Thousand,98
Population Estimates (Persons in April),1953,35 - 39 years,Female,Thousand,97
Population Estimates (Persons in April),1953,40 - 44 years,Both sexes,Thousand,183
Population Estimates (Persons in April),1953,40 - 44 years,Male,Thousand,95
Population Estimates (Persons in April),1953,40 - 44 years,Female,Thousand,88
Population Estimates (Persons in April),1953,45 - 49 years,Both sexes,Thousand,166
Population Estimates (Persons in April),1953,45 - 49 years,Male,Thousand,86
Population Estimates (Persons in April),1953,45 - 49 years,Female,Thousand,81
Population Estimates (Persons in April),1953,45 - 64 years,Both sexes,Thousand,583
Population Estimates (Persons in April),1953,45 - 64 years,Male,Thousand,296
Population Estimates (Persons in April),1953,45 - 64 years,Female,Thousand,287
Population Estimates (Persons in April),1953,50 - 54 years,Both sexes,Thousand,157
Population Estimates (Persons in April),1953,50 - 54 years,Male,Thousand,81
Population Estimates (Persons in April),1953,50 - 54 years,Female,Thousand,77
Population Estimates (Persons in April),1953,55 - 59 years,Both sexes,Thousand,139
Population Estimates (Persons in April),1953,55 - 59 years,Male,Thousand,70
Population Estimates (Persons in April),1953,55 - 59 years,Female,Thousand,69
Population Estimates (Persons in April),1953,60 - 64 years,Both sexes,Thousand,121
Population Estimates (Persons in April),1953,60 - 64 years,Male,Thousand,60
Population Estimates (Persons in April),1953,60 - 64 years,Female,Thousand,60
Population Estimates (Persons in April),1953,65 - 69 years,Both sexes,Thousand,109
Population Estimates (Persons in April),1953,65 - 69 years,Male,Thousand,55
Population Estimates (Persons in April),1953,65 - 69 years,Female,Thousand,54
Population Estimates (Persons in April),1953,65 years and over,Both sexes,Thousand,318
Population Estimates (Persons in April),1953,65 years and over,Male,Thousand,156
Population Estimates (Persons in April),1953,65 years and over,Female,Thousand,162
Population Estimates (Persons in April),1953,70 - 74 years,Both sexes,Thousand,98
Population Estimates (Persons in April),1953,70 - 74 years,Male,Thousand,48
Population Estimates (Persons in April),1953,70 - 74 years,Female,Thousand,50
Population Estimates (Persons in April),1953,75 - 79 years,Both sexes,Thousand,65
Population Estimates (Persons in April),1953,75 - 79 years,Male,Thousand,32
Population Estimates (Persons in April),1953,75 - 79 years,Female,Thousand,33
Population Estimates (Persons in April),1953,80 - 84 years,Both sexes,Thousand,32
Population Estimates (Persons in April),1953,80 - 84 years,Male,Thousand,15
Population Estimates (Persons in April),1953,80 - 84 years,Female,Thousand,17
Population Estimates (Persons in April),1953,85 years and over,Both sexes,Thousand,15
Population Estimates (Persons in April),1953,85 years and over,Male,Thousand,6
Population Estimates (Persons in April),1953,85 years and over,Female,Thousand,8
Population Estimates (Persons in April),1953,All ages,Both sexes,Thousand,2949
Population Estimates (Persons in April),1953,All ages,Male,Thousand,1498
Population Estimates (Persons in April),1953,All ages,Female,Thousand,1451
Population Estimates (Persons in April),1954,Under 1 year,Both sexes,Thousand,60
Population Estimates (Persons in April),1954,Under 1 year,Male,Thousand,31
Population Estimates (Persons in April),1954,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),1954,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1954,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1954,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1954,0 - 14 years,Both sexes,Thousand,870
Population Estimates (Persons in April),1954,0 - 14 years,Male,Thousand,444
Population Estimates (Persons in April),1954,0 - 14 years,Female,Thousand,426
Population Estimates (Persons in April),1954,1 - 4 years,Both sexes,Thousand,246
Population Estimates (Persons in April),1954,1 - 4 years,Male,Thousand,126
Population Estimates (Persons in April),1954,1 - 4 years,Female,Thousand,120
Population Estimates (Persons in April),1954,5 - 9 years,Both sexes,Thousand,292
Population Estimates (Persons in April),1954,5 - 9 years,Male,Thousand,150
Population Estimates (Persons in April),1954,5 - 9 years,Female,Thousand,142
Population Estimates (Persons in April),1954,10 - 14 years,Both sexes,Thousand,272
Population Estimates (Persons in April),1954,10 - 14 years,Male,Thousand,139
Population Estimates (Persons in April),1954,10 - 14 years,Female,Thousand,134
Population Estimates (Persons in April),1954,15 - 19 years,Both sexes,Thousand,237
Population Estimates (Persons in April),1954,15 - 19 years,Male,Thousand,124
Population Estimates (Persons in April),1954,15 - 19 years,Female,Thousand,113
Population Estimates (Persons in April),1954,15 - 24 years,Both sexes,Thousand,427
Population Estimates (Persons in April),1954,15 - 24 years,Male,Thousand,222
Population Estimates (Persons in April),1954,15 - 24 years,Female,Thousand,205
Population Estimates (Persons in April),1954,15 years and over,Both sexes,Thousand,2071
Population Estimates (Persons in April),1954,15 years and over,Male,Thousand,1049
Population Estimates (Persons in April),1954,15 years and over,Female,Thousand,1023
Population Estimates (Persons in April),1954,20 - 24 years,Both sexes,Thousand,189
Population Estimates (Persons in April),1954,20 - 24 years,Male,Thousand,98
Population Estimates (Persons in April),1954,20 - 24 years,Female,Thousand,92
Population Estimates (Persons in April),1954,25 - 29 years,Both sexes,Thousand,182
Population Estimates (Persons in April),1954,25 - 29 years,Male,Thousand,91
Population Estimates (Persons in April),1954,25 - 29 years,Female,Thousand,91
Population Estimates (Persons in April),1954,25 - 44 years,Both sexes,Thousand,740
Population Estimates (Persons in April),1954,25 - 44 years,Male,Thousand,372
Population Estimates (Persons in April),1954,25 - 44 years,Female,Thousand,368
Population Estimates (Persons in April),1954,30 - 34 years,Both sexes,Thousand,183
Population Estimates (Persons in April),1954,30 - 34 years,Male,Thousand,91
Population Estimates (Persons in April),1954,30 - 34 years,Female,Thousand,92
Population Estimates (Persons in April),1954,35 - 39 years,Both sexes,Thousand,191
Population Estimates (Persons in April),1954,35 - 39 years,Male,Thousand,95
Population Estimates (Persons in April),1954,35 - 39 years,Female,Thousand,96
Population Estimates (Persons in April),1954,40 - 44 years,Both sexes,Thousand,184
Population Estimates (Persons in April),1954,40 - 44 years,Male,Thousand,95
Population Estimates (Persons in April),1954,40 - 44 years,Female,Thousand,89
Population Estimates (Persons in April),1954,45 - 49 years,Both sexes,Thousand,169
Population Estimates (Persons in April),1954,45 - 49 years,Male,Thousand,87
Population Estimates (Persons in April),1954,45 - 49 years,Female,Thousand,82
Population Estimates (Persons in April),1954,45 - 64 years,Both sexes,Thousand,587
Population Estimates (Persons in April),1954,45 - 64 years,Male,Thousand,299
Population Estimates (Persons in April),1954,45 - 64 years,Female,Thousand,288
Population Estimates (Persons in April),1954,50 - 54 years,Both sexes,Thousand,154
Population Estimates (Persons in April),1954,50 - 54 years,Male,Thousand,79
Population Estimates (Persons in April),1954,50 - 54 years,Female,Thousand,75
Population Estimates (Persons in April),1954,55 - 59 years,Both sexes,Thousand,144
Population Estimates (Persons in April),1954,55 - 59 years,Male,Thousand,73
Population Estimates (Persons in April),1954,55 - 59 years,Female,Thousand,71
Population Estimates (Persons in April),1954,60 - 64 years,Both sexes,Thousand,120
Population Estimates (Persons in April),1954,60 - 64 years,Male,Thousand,60
Population Estimates (Persons in April),1954,60 - 64 years,Female,Thousand,60
Population Estimates (Persons in April),1954,65 - 69 years,Both sexes,Thousand,109
Population Estimates (Persons in April),1954,65 - 69 years,Male,Thousand,55
Population Estimates (Persons in April),1954,65 - 69 years,Female,Thousand,54
Population Estimates (Persons in April),1954,65 years and over,Both sexes,Thousand,318
Population Estimates (Persons in April),1954,65 years and over,Male,Thousand,156
Population Estimates (Persons in April),1954,65 years and over,Female,Thousand,162
Population Estimates (Persons in April),1954,70 - 74 years,Both sexes,Thousand,96
Population Estimates (Persons in April),1954,70 - 74 years,Male,Thousand,47
Population Estimates (Persons in April),1954,70 - 74 years,Female,Thousand,49
Population Estimates (Persons in April),1954,75 - 79 years,Both sexes,Thousand,66
Population Estimates (Persons in April),1954,75 - 79 years,Male,Thousand,32
Population Estimates (Persons in April),1954,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1954,80 - 84 years,Both sexes,Thousand,32
Population Estimates (Persons in April),1954,80 - 84 years,Male,Thousand,15
Population Estimates (Persons in April),1954,80 - 84 years,Female,Thousand,17
Population Estimates (Persons in April),1954,85 years and over,Both sexes,Thousand,15
Population Estimates (Persons in April),1954,85 years and over,Male,Thousand,7
Population Estimates (Persons in April),1954,85 years and over,Female,Thousand,9
